date,title,amount
2026-02-03,Pagamento recebido,-2066.25
2026-02-03,99*,14.70
2026-02-02,99*,21.70
2026-02-02,99*,15.70
2026-02-01,Deboche Pub Show,32.00
2026-02-01,99*,14.48
2026-01-31,Arquibancada,15.00
2026-01-31,Isabellyoliveira,56.00
2026-01-31,Arquibancada,11.00
2026-01-31,Supermercado,15.48
2026-01-30,Supermercado,3.05
2026-01-29,Supermercado,2.19
2026-01-28,Wellhub Gympass Br Wel,59.90
2026-01-27,Supermercado,2.04
2026-01-26,99*,18.80
2026-01-25,99*,10.20
2026-01-25,Facebk *63qr6pz9g2,37.56
2026-01-25,99*,4.50
2026-01-25,Point Mercado,24.45
2026-01-25,la Biblioteca,19.00
2026-01-25,Mp *Freedom,17.00
2026-01-25,Jeronimo,28.00
2026-01-24,Facebk* Bf4jhdr9g2,31.50
2026-01-24,Adega,8.00
2026-01-24,Adega,8.00
2026-01-24,Le Crocant Produtos Al,18.60
2026-01-24,Facebk *Es3rlc9ag2,25.04
2026-01-24,Cozinha Mineira,20.00
2026-01-24,Armazemsecose,25.80
2026-01-23,99*,13.40
2026-01-23,Silvanio Lanches,80.00
2026-01-23,99*,1.76
2026-01-23,99*,11.20
2026-01-23,99*,8.16
2026-01-23,Barbearia Area Vip,55.00
2026-01-23,Facebk *Ldnzfc5ag2,22.82
2026-01-23,Facebk *Eb6cfc5ag2,24.08
2026-01-22,iFood - NuPay,51.99
2026-01-22,Facebk *8sxhdc9ag2,19.48
2026-01-21,Le Crocant Produtos Al,12.26
2026-01-21,Facebk *P2kv3cv9g2,12.53
2026-01-21,Supermercado Real,19.85
2026-01-20,Facebk* L56v6dr9g2,12.88
2026-01-20,Facebk* Btsh8gdag2,6.86
2026-01-19,Supermercado,7.99
2026-01-19,Rooms Fitness,11.64
2026-01-19,99*,14.36
2026-01-19,99*,11.70
2026-01-19,Cema Central Mineira A,86.97
2026-01-19,Mp *Apaulistanapizzar,110.00
2026-01-18,Rei das Pingas,45.00
2026-01-18,Supermercado,23.25
2026-01-18,Uber - NuPay,-10.39
2026-01-18,Uber - NuPay,10.39
2026-01-17,Supermercado,2.15
2026-01-16,Supermercado,2.24
2026-01-15,Supermercado,2.37
2026-01-15,Supermercado,2.95
2026-01-14,Supermercado,29.13
2026-01-14,Supermercado,5.48
2026-01-13,"IOF de ""Claude.Ai Subscription""",4.00
2026-01-13,Supermercado,1.07
2026-01-13,Supermercado,2.06
2026-01-13,Supermercado,3.23
2026-01-13,Claude.Ai Subscription,114.39
2026-01-12,Arquibancada,11.00
2026-01-12,99*,11.50
2026-01-12,99*,11.00
2026-01-11,Arquibancada,15.00
2026-01-11,Mariadefatimadias,28.00
2026-01-11,99*,12.30
2026-01-11,iFood - NuPay,73.79
2026-01-11,Verdao do Triangulo - Parcela 1/3,66.67
2026-01-11,Armazemsecose,26.50
2026-01-11,Supermercado,15.98
2026-01-11,Metis e*Rf3 Bar e Even,12.00
2026-01-11,99*,9.86
2026-01-10,Adega,8.00
2026-01-10,Raia Drogasil - NuPay,27.09
2026-01-10,Supermercado,2.87
2026-01-10,Adega,8.00
2026-01-10,Supermercado,8.74
2026-01-09,Supermercado,10.20
2026-01-08,99*,9.60
2026-01-07,Subway,20.90
2026-01-07,99*,11.81
2026-01-06,Chiquinho Sorvetes,20.00
2026-01-06,99*,15.30
2026-01-06,Apple.Com/Bill,5.90
2026-01-05,EBW*Spotify - NuPay,-12.90
2026-01-05,Supermercado,11.47
2026-01-05,Uber - NuPay,11.92
2026-01-05,Uber - NuPay,-11.92
2026-01-05,EBW*Spotify - NuPay,12.90
2026-01-04,Pagamento recebido,-1858.69
2026-01-04,Kvn*Assinatura Semestr - Parcela 3/5,127.49
2026-01-04,Lara Xavier Resende - Parcela 3/3,93.33
