date,title,amount
2026-03-20,IOF de compra internacional,4.04
2026-03-20,Barbearia Area Vip,55.00
2026-03-20,Claude.Ai Subscription,115.56
2026-03-20,99*,11.50
2026-03-20,Dl*Google Youtub,16.90
2026-03-20,Supermercado,2.33
2026-03-19,iFood - NuPay,8.89
2026-03-19,Adega,8.00
2026-03-18,iFood - NuPay,8.89
2026-03-18,Flex Bar,17.50
2026-03-18,Lol Comercio Ii,3.50
2026-03-18,99*,8.84
2026-03-18,Flex Bar,2.50
2026-03-18,Supermercado,6.29
2026-03-17,Supermercado,2.22
2026-03-16,Supermercado,5.75
2026-03-16,Duoticket,78.40
2026-03-14,Supermercado,6.99
2026-03-14,Supermercado,5.75
2026-03-13,99*,15.60
2026-03-13,Supermercado,11.12
2026-03-13,Supermercado,2.06
2026-03-12,Lol Cc,2.50
2026-03-12,Supermercado Guedes,11.05
2026-03-11,Supermercado,38.03
2026-03-10,99*,9.27
2026-03-10,Genilsonbatista,12.00
2026-03-10,Supermercado,2.15
2026-03-09,Mp *Guilhermereis,4.00
2026-03-09,Duoticketltda,10.00
2026-03-09,Mp *Guilhermereis,7.00
2026-03-09,Supermercado Guedes,46.84
2026-03-08,iFood - NuPay,10.00
2026-03-08,iFood - NuPay,-10.00
2026-03-08,iFood - NuPay,10.00
2026-03-08,Clairtonaparecido,14.00
2026-03-08,99*,8.60
2026-03-08,Vshop,78.95
2026-03-08,99*,11.00
2026-03-08,Duoticketltda,25.00
2026-03-06,99*,8.75
2026-03-06,Applecombill,5.90
2026-03-05,Supermercado,2.24
2026-03-05,Ingressolive,57.73
2026-03-05,Picpay*Kelwin Tobias,19.23
2026-03-05,99*,10.20
2026-03-04,Pagamento recebido,-1818.85
2026-03-04,58889428aldimeire - Parcela 2/2,55.00
2026-03-04,Kvn*Assinatura Semestr - Parcela 5/5,127.49
2026-03-04,Verdao do Triangulo - Parcela 3/3,66.66
2026-03-04,Supermercado,4.31
